Model,Feel▾,Actuation,Pre-Travel,Total Travel,Mount,
Cherry MX Blue,Clicky,60g,2.2mm,4.0mm,Plate/PCB,
Cherry MX Green,Clicky,80g,2.2mm,4.0mm,Plate/PCB,
Cherry MX White,Clicky,80g,2.2mm,4.0mm,Plate,
Cherry MX RGB Blue,Clicky,60g,2.2mm,4.0mm,Plate,
Gateron Ink Blue,Clicky,60g,2.0mm,4.0mm,PCB,
Gateron Milky Blue,Clicky,80g,2.0mm,4.0mm,PCB,
Gateron Milky Green,Clicky,60g,2.3mm,4.0mm,PCB,
Gateron Blue,Clicky,55g,2.3mm,4.0mm,Plate/PCB,
Gateron Green,Clicky,80g,2.3mm,4.0mm,Plate/PCB,
Gateron Optical Blue,Clicky,55g,2.3mm,4.0mm,PCB,
Gateron SMD Blue,Clicky,55g,2.3mm,4.0mm,Plate,
Gateron SMD Green,Clicky,80g,2.0mm,4.0mm,Plate,
Huano Blue,Clicky,50g,2.0mm,4.0mm,Plate,
HyperX Blue,Clicky,50g,1.8mm,3.8mm,Plate,
Kailh Blue,Clicky,60g,1.9mm,4.0mm,Plate,
Kailh Box White,Clicky,50g,1.8mm,3.6mm,Plate,
Kailh Box Pink,Clicky,62g,1.8mm,3.6mm,Plate,
Kailh Box White Owl,Clicky,46g,1.8mm,3.6mm,PCB,
Kailh Box Glazed Green,Clicky,50g,1.8mm,3.6mm,Plate,
Kailh Box Noble Yellow,Clicky,65g,1.8mm,3.6mm,Plate,
Kailh Box Crystal Jade,Clicky,55g,1.8mm,3.6mm,PCB,
Kailh Box Crystal Navy,Clicky,60g,1.8mm,3.6mm,PCB,
Kailh Box Crystal Pink,Clicky,65g,1.8mm,3.6mm,PCB,
Kailh Box Heavy Pale Blue,Clicky,60g,1.8mm,3.6mm,Plate,
Kailh Pro Light Green,Clicky,50g,1.7mm,3.6mm,Plate,
Kailh RGB Blue,Clicky,50g,1.9mm,4.0mm,Plate,
Kailh Speed Bronze,Clicky,50g,1.1mm,3.5mm,Plate,
Kailh Speed Gold,Clicky,50g,1.4mm,3.5mm,Plate,
Kailh Speed Pink,Clicky,50g,1.4mm,3.5mm,Plate,
Kailh Choc White,Clicky,50g,1.3mm,3.2mm,Plate,
Kailh Choc Heavy Pale Blue,Clicky,60g,1.3mm,3.2mm,PCB,
Kailh Choc Jade,Clicky,50g,1.3mm,3.2mm,PCB,
Kailh Choc Navy,Clicky,50g,1.3mm,3.2mm,PCB,
Kailh Choc V2 Blue,Clicky,55g,1.3mm,3.2mm,Plate,
Kailh Choc Robin,Clicky,47/52/57g,1.5mm,3.0mm,Plate,
Keychron Low Profile Optical Blue,Clicky,48g,1.1mm,2.5mm,Plate,
